,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,2020-06-14,14,6,2020,556,5,Afghanistan,AF,AFG,37172386,Asia,AFG,Asia,Afghanistan,2020-06-14,24102.0,556.0,451.0,5.0,619.138,14.283,11.585,0.128,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
1,2020-06-13,13,6,2020,656,20,Afghanistan,AF,AFG,37172386,Asia,AFG,Asia,Afghanistan,2020-06-13,23546.0,656.0,446.0,20.0,604.855,16.851,11.457,0.514,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
2,2020-12-06,12,6,2020,747,21,Afghanistan,AF,AFG,37172386,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-11-06,11,6,2020,684,21,Afghanistan,AF,AFG,37172386,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-10-06,10,6,2020,542,15,Afghanistan,AF,AFG,37172386,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-09-06,9,6,2020,575,12,Afghanistan,AF,AFG,37172386,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-08-06,8,6,2020,791,30,Afghanistan,AF,AFG,37172386,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-07-06,7,6,2020,582,18,Afghanistan,AF,AFG,37172386,Asia,AFG,Asia,Afghanistan,2020-07-06,32951.0,279.0,864.0,38.0,846.453,7.167,22.195,0.976,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
8,2020-06-06,6,6,2020,915,9,Afghanistan,AF,AFG,37172386,Asia,AFG,Asia,Afghanistan,2020-06-06,18969.0,915.0,309.0,9.0,487.28,23.505,7.938,0.231,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
9,2020-05-06,5,6,2020,787,6,Afghanistan,AF,AFG,37172386,Asia,AFG,Asia,Afghanistan,2020-05-06,3224.0,330.0,95.0,5.0,82.819,8.477,2.44,0.128,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
